SpecificConductivity,SampleID,Ablabesmyia,Acentrella,Acerpenna,Acroneuria,Agapetus,Allocapnia,Alloperla,Ameletus,Amphinemura,Anopheles,Antocha,Asellus,Atherix,Atrichopogon,Baetis,Baetisca,Bezzia,Boyeria,Brachypremna,Brillia,Caecidotea,Caenis,Cambarus,Cardiocladius,Centroptilum,Ceratopsyche,Chaetocladius,Chelifera,Cheumatopsyche,Chimarra,Chrysops,Cinygmula,Cladotanytarsus,Clinocera,Clioperla,Conchapelopia,Cordulegaster,Corydalus,Corynoneura,Crangonyx,Cricotopus,Cryptochironomus,Cultus,Dasyhelea,Demicryptochironomus,Diamesa,Dicranota,Dicrotendipes,Diphetor,Diplectrona,Diplocladius,Diploperla,Dixa,Dolophilodes,Drunella,Dubiraphia,Eccoptura,Ectopria,Epeorus,Ephemera,Ephemerella,Eukiefferiella,Eurylophella,Gammarus,Glossosoma,Goera,Haploperla,Heleniella,Helichus,Hemerodromia,Heptagenia,Hexatoma,Hydroporus,Hydropsyche,Hydroptila,Isonychia,Isoperla,Krenopelopia,Krenosmittia,Lanthus,Larsia,Lepidostoma,Leptophlebia,Leucrocuta,Leuctra,Limnophila,Limnophyes,Limonia,Lirceus,Lype,Maccaffertium,Macronychus,Malirekus,Microcylloepus,Micropsectra,Microtendipes,Microvelia,Molophilus,Natarsia,Neophylax,Neureclipsis,Nigronia,Nilotanypus,Nixe,Ochrotrichia,Optioservus,Orconectes,Ormosia,Orthocladius,Oulimnius,Pagastia,Paracapnia,Parachaetocladius,Paracladopelma,Paragnetina,Parakiefferiella,Paraleptophlebia,Parametriocnemus,Paraphaenocladius,Paratanytarsus,Peltoperla,Perlesta,Phaenopsectra,Physella,Pisidium,Platysmittia,Plauditus,Polycentropus,Polypedilum,Potthastia,Procladius,Procloeon,Promoresia,Prosimulium,Prostoia,Psephenus,Pseudochironomus,Pseudolimnophila,Pseudorthocladius,Psilometriocnemus,Psychomyia,Pteronarcys,Pycnopsyche,Remenus,Rhagovelia,Rheocricotopus,Rheopelopia,Rheotanytarsus,Rhyacophila,Serratella,Sialis,Simulium,Stempellina,Stempellinella,Stenacron,Stenelmis,Stenonema,Strophopteryx,Stylogomphus,Sublettea,Sweltsa,Tabanus,Taeniopteryx,Tallaperla,Tanytarsus,Thienemanniella,Thienemannimyia,Timpanoga,Tipula,Tribelos,Tvetenia,Utaperla,Wormaldia,Yugus,Zavrelia,Zavrelimyia
43,87,0,0.005128205,0,0.015384615,0,0,0,0,0,0,0,0,0,0,0.035897436,0,0,0,0,0,0,0,0.005128205,0,0,0,0,0,0.01025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015384615,0,0,0.030769231,0,0,0,0.005128205,0,0,0,0.015384615,0,0,0,0,0,0,0,0,0,0,0,0,0.015384615,0,0,0.343589744,0,0.01025641,0,0,0,0,0,0,0,0,0.230769231,0,0,0,0,0,0,0,0.005128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035897436,0,0,0,0,0,0,0,0.005128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01025641,0,0,0,0,0,0,0.005128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0,0,0,0,0,0,0,0,0,0,0,0
83,88,0,0.009345794,0,0.014018692,0,0,0,0,0,0,0,0,0,0,0.121495327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014018692,0,0.018691589,0.056074766,0.004672897,0,0.004672897,0,0,0,0,0.014018692,0,0,0,0,0,0,0.004672897,0,0,0,0,0,0,0.004672897,0,0.317757009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107476636,0,0.004672897,0.004672897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018691589,0,0,0,0,0,0,0,0.004672897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009345794,0,0,0,0,0.018691589,0,0,0.018691589,0,0,0.004672897,0,0,0,0,0,0,0,0,0
46,89,0,0.011494253,0,0.003831418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003831418,0,0,0.007662835,0,0,0,0.034482759,0.01532567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049808429,0.003831418,0,0.042145594,0,0.011494253,0,0,0,0,0,0,0,0,0.54789272,0.003831418,0,0,0,0,0,0,0.007662835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026819923,0,0,0,0,0,0,0,0.011494253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007662835,0,0,0,0,0,0.003831418,0,0,0,0,0,0,0.007662835,0,0,0,0,0,0,0,0,0,0,0,0.01532567,0,0,0,0,0,0.022988506,0,0,0,0.007662835,0,0,0,0,0
42,90,0,0.011235955,0,0,0,0,0,0,0,0,0.005617978,0,0,0,0.005617978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011235955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005617978,0,0,0,0,0,0,0.04494382,0.005617978,0,0,0.005617978,0,0,0,0,0,0,0,0.005617978,0,0,0,0,0,0.005617978,0,0.028089888,0,0.005617978,0,0,0,0,0,0,0,0.011235955,0.556179775,0,0,0,0,0,0,0,0.005617978,0,0,0.005617978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039325843,0,0,0,0,0,0,0,0.005617978,0,0,0,0,0,0,0,0,0,0,0.005617978,0,0,0,0,0,0,0,0,0,0,0,0,0.028089888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011235955,0,0,0,0,0,0,0,0.005617978,0,0,0.016853933,0,0,0,0,0,0,0,0,0
39,112,0,0.011695906,0,0,0,0,0,0,0,0,0,0,0,0,0.029239766,0,0,0,0,0.005847953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005847953,0,0,0,0,0,0.023391813,0,0,0.029239766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005847953,0,0.005847953,0,0,0,0,0,0,0,0,0.520467836,0,0,0,0,0,0,0,0.005847953,0,0.011695906,0.005847953,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064327485,0,0,0.005847953,0,0,0,0,0.005847953,0,0,0,0,0,0,0,0,0,0.005847953,0.011695906,0,0,0,0,0,0,0,0,0.005847953,0,0,0,0.01754386,0,0,0,0,0,0,0,0,0,0.005847953,0,0,0,0.005847953,0,0,0,0,0.01754386,0,0,0.011695906,0,0,0.029239766,0,0,0,0,0,0,0,0,0.005847953
183,119,0,0.02247191,0,0,0,0,0,0,0.005617978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005617978,0,0,0,0,0,0.016853933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050561798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016853933,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45505618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028089888,0,0,0.005617978,0,0,0,0,0,0,0,0,0.028089888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033707865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005617978,0,0.005617978,0,0,0,0,0,0,0,0,0,0,0.011235955,0,0,0,0,0,0,0,0,0
40,154,0,0.004950495,0,0,0,0,0,0,0.034653465,0,0,0,0,0,0.00990099,0,0,0,0,0,0,0,0.024752475,0,0,0,0,0,0.004950495,0,0,0,0,0,0,0,0,0,0,0.00990099,0,0,0,0,0,0,0,0,0.00990099,0,0,0.004950495,0,0,0,0,0,0,0,0,0.118811881,0,0.00990099,0,0,0,0,0,0.01980198,0,0,0.014851485,0,0,0,0,0,0,0,0,0,0,0,0,0.074257426,0,0,0,0,0,0,0,0,0,0.004950495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024752475,0,0,0,0.138613861,0,0,0,0,0,0,0.004950495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03960396,0.183168317,0,0,0,0,0,0,0,0,0,0.113861386,0,0.00990099,0,0,0,0,0,0,0
164,155,0,0.01986755,0,0,0,0,0,0.006622517,0.026490066,0,0,0,0,0,0.112582781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006622517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006622517,0,0,0.013245033,0,0.298013245,0,0,0,0,0,0.052980132,0,0,0,0,0.033112583,0,0,0,0,0.006622517,0,0,0,0,0,0,0,0.086092715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01986755,0,0,0,0.079470199,0,0,0,0,0,0,0,0,0,0,0,0,0.079470199,0.006622517,0,0,0,0,0,0,0,0,0,0,0.006622517,0,0,0,0,0,0,0,0,0.006622517,0,0,0,0,0,0,0,0,0,0,0.006622517,0,0,0,0,0,0,0,0.006622517,0,0,0,0,0,0,0,0,0,0.013245033,0,0.006622517,0,0,0,0,0,0,0
52,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240310078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031007752,0,0,0,0.046511628,0.07751938,0,0,0,0.248062016,0,0,0,0,0,0,0,0,0,0,0,0,0.007751938,0,0,0,0,0,0,0,0,0,0,0,0,0.03875969,0,0,0,0,0,0,0,0,0,0,0.007751938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007751938,0,0,0,0,0,0,0.015503876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031007752,0,0,0,0,0,0,0.03875969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007751938,0,0,0,0.007751938,0,0,0,0,0,0,0
75,480,0.004524887,0.009049774,0,0.004524887,0,0,0,0,0,0,0,0,0,0,0.045248869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013574661,0,0,0.009049774,0,0,0,0.067873303,0.004524887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004524887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.610859729,0,0,0,0,0,0,0,0,0,0,0.004524887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009049774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018099548,0,0,0.004524887,0,0,0,0,0,0.009049774,0,0,0,0,0,0,0,0,0,0,0.004524887,0,0,0.004524887,0,0,0,0,0.031674208,0,0,0,0,0,0,0,0,0,0.031674208,0,0.013574661,0,0.009049774,0,0,0,0,0
